Feature,Importance
leftEyeUpper0_385,0.29557744097218375
leftEyeUpper1_260,0.29537709027586906
leftEyeLower3_348,0.2949197741656674
rightEyeUpper1_30,0.29471650544306055
leftEyeLower0_374,0.29454583769311404
leftEyeLower1_359,0.29405182048297673
rightEyeUpper0_246,0.29345760124956677
rightEyeUpper0_159,0.29302217245582146
leftEyeLower2_448,0.29165315525142677
rightEyeUpper0_160,0.2910762016248172
leftEyeLower0_263,0.2900547327931732
rightEyeLower0_163,0.2888911428658196
leftEyeLower3_349,0.2887775353904241
leftEyeUpper0_387,0.2886125938791979
rightEyeLower0_7,0.28699429172521707
leftEyeUpper0_386,0.2837098736298922
leftEyeLower2_449,0.28030343392641666
leftEyeLower0_373,0.27975802481324274
leftEyeLower1_255,0.27964888509158675
leftEyeUpper0_466,0.279443190373707
leftEyeLower1_253,0.27695866603615393
leftEyeLower1_339,0.27281646428868
leftEyeLower2_450,0.269996781211656
leftEyeLower1_254,0.26708899311331624
leftEyeLower0_249,0.2659440455035966
leftEyeLower0_390,0.2654448086651497
